S.NO              TECHNOLOGY                                       PURPOSE

1.                 🐍Python                    Core backend development and AI agent execution
2.                 🤖Ollama                    Run local Large Language Models (LLMs) for intelligent planning and execution
3.                 🌐FastAPI                   Backend services and API handling
4.                 🗄️SQLite                    Stores execution state and agent memory
5.                 📄Markdown                  Stores operational procedures and instructions
6.                 🎨HTML+CSS                  Dashboard and user interfacce
7.                 📊JSON                      Generates structured execution summaries
8.                 ⚙️Subprocess                Executes validated shell commands
9.                 🔄GitHub                    Source code management
10.                🤖Custom AI Agent           Reads the runbook, makes decisions, and executes tasks automatically.
11.                🔗REST APIs                 Connect the AI agent with external systems to send and receive data (notifications, reports, integrations).
